FID,Shape *,kml_addres,kml_id,Latitude,Longitud,OfficeName,Country
96,Point ZM,"Unit 10, “Skanderbeg” Street, Building no.6, Entrance no. 2, Apartment no 11, Tiranë, Albania",kml_97,19.818698,41.327546,Tirana,ALB
97,Point ZM,"Nur Empory, Level 6, Plot Block M,, 77 Rd No. 11, Dhaka 1212, Bangladesh",kml_98,90.409825,23.790256,Bangladesh,BGD
98,Point ZM,"7 Ave SW, Calgary, AB, Canada",kml_99,-114.073865,51.04679,Calgary,CAN
99,Point ZM, ,kml_100,121.436608,31.187649,Beijing,CHN
100,Point ZM,"Urban Plaza, Cl. 90 No. 11-13 Oficina 408, Bogotá, Colombia",kml_101,-74.049244,4.672211,Bogota,COL
101,Point ZM, ,kml_102,15.266293,-4.441931,Kinshasa,COD
102,Point ZM," 15, Národní 984, Staré M?sto, 110 00 Praha-Praha 1, Czechia",kml_103,14.416851,50.081896,Brno-Jaselska,CZE
103,Point ZM, ,kml_104,31.235712,30.04442,Cairo?,EGY
104,Point ZM,"Amsterdamseweg 15, 6814 CM Arnhem",kml_105,5.897629,51.986395,Arnhem,NLD
105,Point ZM, ,kml_106,-0.157804,5.642137,East Legon,GHA
106,Point ZM, ,kml_107,78.38215,17.436171,Hyderabad,IND
107,Point ZM, ,kml_108,77.622109,13.044831,Bangalore,IND
108,Point ZM, ,kml_109,80.174543,13.021729,Chennai,IND
109,Point ZM, ,kml_110,36.766705,-1.28327,Nairobi,KEN
110,Point ZM, ,kml_111,46.674465,24.71151,Riyadh,SAU
111,Point ZM, ,kml_112,27.484656,-29.319144,Maseru,LSO
112,Point ZM, ,kml_113,35.018711,-15.794455,Blantyre,MWI
113,Point ZM, ,kml_114,32.589156,-25.963238,Maputo,MOZ
114,Point ZM, ,kml_116,85.307281,27.686267,Kathmandu,NPL
115,Point ZM, ,kml_117,7.496215,9.081613,Abuja,NGA
116,Point ZM, ,kml_118,30.069769,-1.946758,Kigali,RWA
117,Point ZM, ,kml_119,31.070794,-29.723516,Umhlanga,ZAF
118,Point ZM, ,kml_120,28.252767,-25.771319,Pretoria,ZAF
119,Point ZM, ,kml_121,35.736303,-6.195021,Dodoma,TZA
120,Point ZM, ,kml_123,32.594854,0.339526,Kampala,UGA
121,Point ZM, ,kml_124,-81.526506,41.072869,Akron,USA
122,Point ZM, ,kml_125,-97.827872,30.306547,Austin,USA
123,Point ZM, ,kml_126,-86.762402,33.405849,Birmingham,USA
124,Point ZM, ,kml_127,-80.166493,40.27421,Canonsburg,USA
125,Point ZM, ,kml_128,-74.81594,39.081191,Cape May,USA
126,Point ZM, ,kml_129,-85.536857,30.779906,Chipley,USA
127,Point ZM, ,kml_130,-84.508639,39.102183,Cincinnati,USA
128,Point ZM, ,kml_131,-81.823462,41.424297,Cleveland,USA
129,Point ZM, ,kml_132,-97.396806,27.797173,Corpus Christi,USA
130,Point ZM, ,kml_133,-96.769538,32.861633,Dallas,USA
131,Point ZM, ,kml_134,-80.094609,26.456696,Delray Beach,USA
132,Point ZM, ,kml_135,-74.255452,40.240027,Freehold,USA
133,Point ZM, ,kml_136,-89.378806,31.328497,Hattiesburg,USA
134,Point ZM,"10245 Centurion Pkwy N Suite 320, Jacksonville, FL 32256",kml_137,-81.548587,30.24856,Jacksonville,USA
135,Point ZM, ,kml_138,-85.677478,30.190424,"Panama City, FL",USA
136,Point ZM,"Wells Fargo Plaza, 401 B St Suite 1520, San Diego, CA 92101",kml_139,-117.160633,32.717374,San Diego,USA
137,Point ZM,"155 Montgomery St #1400, San Francisco, CA 94104",kml_140,-122.402511,37.790837,San Francisco,USA
138,Point ZM,"2077 Gateway Pl #550, San Jose, CA 95110",kml_141,-121.925832,37.371632,San Jose,USA
139,Point ZM,"1601 5th Ave #850, Seattle, WA 98101",kml_142,-122.337463,47.612441,Seattle,USA
140,Point ZM,"1545 Raymond Diehl Rd Suite 200, Tallahassee, FL 32308",kml_143,-84.251598,30.500122,Tallahassee,USA
141,Point ZM,"4200 E Skelly Dr Suite 520, Tulsa, OK 74135",kml_144,-95.929008,36.090785,Tulsa,USA
142,Point ZM,"2495 Natomas Park Dr Suite 530, Sacramento, CA 95833",kml_145,-121.506746,38.60857,Sacramento,USA
143,Point ZM,"325 Chestnut St #300, Philadelphia, PA 19106",kml_146,-75.147173,39.94899,Philadelphia,USA
144,Point ZM," 11019 McCormick Rd Suite 260, Hunt Valley, MD 21031",kml_148,-76.655756,39.486523,Hunt Valley,USA
